"","block","start_meter","end_meter","formation_start","release_end","line","mean_occupation","release_end_assumed","buffer_to_next_train","following_train"
"5","9_21_1",701,1241,2423.28000000002,2525.99627216295,"rjx_s",99.6323347102481,FALSE,75.6037278370345,"s25_s_1"
"1049","9_21_1",701,1241,2601.59999999998,2698.63103769708,"s25_s_1",99.6323347102481,FALSE,1224.64896230294,"ic2_s_1"
"572","9_21_1",701,1241,3923.28000000002,4025.99627216295,"ic2_s_1",99.6323347102481,FALSE,197.043727837037,"ir70_s_2"
"701","9_21_1",701,1241,4223.03999999999,4324.98810599729,"ir70_s_2",99.6323347102481,FALSE,17.8118940027589,"re_s_2"
"893","9_21_1",701,1241,4342.80000000005,4433.05941941279,"re_s_2",99.6323347102481,FALSE,1170.22058058713,"ec_s_1"
"111","9_21_1",701,1241,5603.27999999993,5705.99627216277,"ec_s_1",99.6323347102481,FALSE,17.2837278371535,"ir75_s_2"
"735","9_21_1",701,1241,5723.27999999993,5825.99627216277,"ir75_s_2",99.6323347102481,FALSE,16.803727837274,"ic3_s_2"
"417","9_21_1",701,1241,5842.80000000005,5941.67544133633,"ic3_s_2",99.6323347102481,FALSE,259.924558663659,"s25_s_2"
"1120","9_21_1",701,1241,6201.59999999998,6298.63103769708,"s25_s_2",99.6323347102481,FALSE,NA,NA
"650","21_22_1",1241,1566,376.425075213957,443.838772162898,"ir46_s_1",66.560921867358,FALSE,49.9282261980178,"ice_s_1"
"130","21_22_1",1241,1566,493.766998360916,558.78669133649,"ice_s_1",66.560921867358,FALSE,116.962768506868,"ir70_s_1"
"686","21_22_1",1241,1566,675.749459843358,742.684355997575,"ir70_s_1",66.560921867358,FALSE,44.1690634150544,"re_s_1"
"752","21_22_1",1241,1566,786.853419412629,850.609419412602,"re_s_1",66.560921867358,FALSE,1205.81565580128,"ir_s_1"
"667","21_22_1",1241,1566,2056.42507521389,2123.83877216289,"ir_s_1",66.560921867358,FALSE,52.5863030510882,"ir75_s_1"
"720","21_22_1",1241,1566,2176.42507521398,2243.83877216298,"ir75_s_1",66.560921867358,FALSE,49.9282261978378,"ic3_s_1"
"274","21_22_1",1241,1566,2293.76699836082,2358.7866913365,"ic3_s_1",66.560921867358,FALSE,117.638383877479,"rjx_s"
"6","21_22_1",1241,1566,2476.42507521398,2543.83877216298,"rjx_s",66.560921867358,FALSE,105.485765534033,"s25_s_1"
"1050","21_22_1",1241,1566,2649.32453769701,2717.64353769711,"s25_s_1",66.560921867358,FALSE,1258.78153751687,"ic2_s_1"
"573","21_22_1",1241,1566,3976.42507521398,4043.83877216298,"ic2_s_1",66.560921867358,FALSE,231.910687680336,"ir70_s_2"
"702","21_22_1",1241,1566,4275.74945984331,4342.68435599717,"ir70_s_2",66.560921867358,FALSE,44.1690634155639,"re_s_2"
"894","21_22_1",1241,1566,4386.85341941273,4450.60941941282,"re_s_2",66.560921867358,FALSE,1205.81565580098,"ec_s_1"
"112","21_22_1",1241,1566,5656.4250752138,5723.8387721628,"ec_s_1",66.560921867358,FALSE,52.586303050999,"ir75_s_2"
"736","21_22_1",1241,1566,5776.4250752138,5843.8387721628,"ir75_s_2",66.560921867358,FALSE,49.9282261982053,"ic3_s_2"
"418","21_22_1",1241,1566,5893.76699836101,5958.7866913362,"ic3_s_2",66.560921867358,FALSE,290.537846360809,"s25_s_2"
"1121","21_22_1",1241,1566,6249.32453769701,6317.64353769711,"s25_s_2",66.560921867358,FALSE,NA,NA
"651","22_23_1",1566,2643,406.071172162881,483.28952714328,"ir46_s_1",75.0556429820293,FALSE,38.9085641932252,"ice_s_1"
"131","22_23_1",1566,2643,522.198091336505,596.620612096362,"ice_s_1",75.0556429820293,FALSE,108.531943901226,"ir70_s_1"
"687","22_23_1",1566,2643,705.152555997588,781.811744133853,"ir70_s_1",75.0556429820293,FALSE,34.2016752787616,"re_s_1"
"753","22_23_1",1566,2643,816.013419412615,884.479626844083,"re_s_1",75.0556429820293,FALSE,1201.59154531876,"ir_s_1"
"668","22_23_1",1566,2643,2086.07117216284,2163.28952714327,"ir_s_1",75.0556429820293,FALSE,42.7816450196606,"ir75_s_1"
"721","22_23_1",1566,2643,2206.07117216293,2283.28952714336,"ir75_s_1",75.0556429820293,FALSE,38.9085641930928,"ic3_s_1"
"275","22_23_1",1566,2643,2322.19809133645,2396.62061209637,"ic3_s_1",75.0556429820293,FALSE,109.45056006656,"rjx_s"
"7","22_23_1",1566,2643,2506.07117216293,2583.28952714336,"rjx_s",75.0556429820293,FALSE,97.6250105537024,"s25_s_1"
"1051","22_23_1",1566,2643,2680.91453769706,2754.33626241455,"s25_s_1",75.0556429820293,FALSE,1251.73490974838,"ic2_s_1"
"574","22_23_1",1566,2643,4006.07117216293,4083.28952714336,"ic2_s_1",75.0556429820293,FALSE,221.863028854,"ir70_s_2"
"703","22_23_1",1566,2643,4305.15255599736,4381.81174413344,"ir70_s_2",75.0556429820293,FALSE,34.2016752793434,"re_s_2"
"895","22_23_1",1566,2643,4416.01341941278,4484.4796268443,"re_s_2",75.0556429820293,FALSE,1201.59154531846,"ec_s_1"
"113","22_23_1",1566,2643,5686.07117216275,5763.28952714319,"ec_s_1",75.0556429820293,FALSE,42.7816450195678,"ir75_s_2"
"737","22_23_1",1566,2643,5806.07117216275,5883.28952714319,"ir75_s_2",75.0556429820293,FALSE,38.9085641932115,"ic3_s_2"
"419","22_23_1",1566,2643,5922.1980913364,5996.62061209608,"ic3_s_2",75.0556429820293,FALSE,284.293925600984,"s25_s_2"
